matchId,puuid,tier,champion
JP1_353827167,oKOoX0QtrYLTMqkiVmQeLI4pzzhfUU-WbtPO9z5uM-KO7T0HsCNiuik-W-FUe7jQhI_0kDZeF0BimA,IRON,Xayah
JP1_353836782,oKOoX0QtrYLTMqkiVmQeLI4pzzhfUU-WbtPO9z5uM-KO7T0HsCNiuik-W-FUe7jQhI_0kDZeF0BimA,IRON,Xayah
JP1_353816437,oKOoX0QtrYLTMqkiVmQeLI4pzzhfUU-WbtPO9z5uM-KO7T0HsCNiuik-W-FUe7jQhI_0kDZeF0BimA,IRON,Xayah
JP1_349431370,HLbM8GvaIe1v6fNBIbG0LMPougz25WD4aWB1Ra2Ak7MGPkuJW8hEcGqQ9v122bB4wGEUri_USAiI5w,IRON,Ekko
JP1_349419770,HLbM8GvaIe1v6fNBIbG0LMPougz25WD4aWB1Ra2Ak7MGPkuJW8hEcGqQ9v122bB4wGEUri_USAiI5w,IRON,Ekko
JP1_349409431,HLbM8GvaIe1v6fNBIbG0LMPougz25WD4aWB1Ra2Ak7MGPkuJW8hEcGqQ9v122bB4wGEUri_USAiI5w,IRON,Sylas
JP1_351447700,7kdZhd-Sqp29s_waTgenmLYTYPiTKEArgUjTaE6uMluHU2F_-DDyVi59doG6uw4QUKE_AgTRIzKWdg,IRON,Kha'Zix
JP1_350835323,7kdZhd-Sqp29s_waTgenmLYTYPiTKEArgUjTaE6uMluHU2F_-DDyVi59doG6uw4QUKE_AgTRIzKWdg,IRON,Sona
JP1_350715848,7kdZhd-Sqp29s_waTgenmLYTYPiTKEArgUjTaE6uMluHU2F_-DDyVi59doG6uw4QUKE_AgTRIzKWdg,IRON,Viktor
JP1_354147994,DLIQLg89t73qobuTSJgoFaoxZwq_zS8o2MN2gX5SJBnRj4GKVMTMREX_XWTp9E6RAb5ZJyROYsTm6A,IRON,Mordekaiser
JP1_354167259,DLIQLg89t73qobuTSJgoFaoxZwq_zS8o2MN2gX5SJBnRj4GKVMTMREX_XWTp9E6RAb5ZJyROYsTm6A,IRON,Volibear
JP1_354166559,DLIQLg89t73qobuTSJgoFaoxZwq_zS8o2MN2gX5SJBnRj4GKVMTMREX_XWTp9E6RAb5ZJyROYsTm6A,IRON,Mordekaiser
JP1_352080981,_woaObDsdKAgW85d6trjI2HSwiUYP_6h4LqHcSKMsG-Q1HwhwPq_rw4pZiPJ70QL_ETb7e_CgVmwGw,IRON,Lissandra
JP1_352069544,_woaObDsdKAgW85d6trjI2HSwiUYP_6h4LqHcSKMsG-Q1HwhwPq_rw4pZiPJ70QL_ETb7e_CgVmwGw,IRON,Qiyana
JP1_352058453,_woaObDsdKAgW85d6trjI2HSwiUYP_6h4LqHcSKMsG-Q1HwhwPq_rw4pZiPJ70QL_ETb7e_CgVmwGw,IRON,Mordekaiser
JP1_355135613,pqhFySyBj7QrE4HHLwaFKSXy-X7AQNPIP8XthftNsykMTEHXBTFcCpx5jQAkarsIfsHFHnR_-9M3qQ,IRON,Taliyah
JP1_355052624,pqhFySyBj7QrE4HHLwaFKSXy-X7AQNPIP8XthftNsykMTEHXBTFcCpx5jQAkarsIfsHFHnR_-9M3qQ,IRON,Taliyah
JP1_355005113,pqhFySyBj7QrE4HHLwaFKSXy-X7AQNPIP8XthftNsykMTEHXBTFcCpx5jQAkarsIfsHFHnR_-9M3qQ,IRON,Ashe
JP1_364347720,5RtLinVidKnHr2pAYV1X_JCsFX9SAOhTrBZ1xk7RgPebMuYmkYLI6kn9fH2Es0Eup_0tXBokK9k8TA,IRON,Galio
JP1_364336957,5RtLinVidKnHr2pAYV1X_JCsFX9SAOhTrBZ1xk7RgPebMuYmkYLI6kn9fH2Es0Eup_0tXBokK9k8TA,IRON,Rammus
JP1_361322634,5RtLinVidKnHr2pAYV1X_JCsFX9SAOhTrBZ1xk7RgPebMuYmkYLI6kn9fH2Es0Eup_0tXBokK9k8TA,IRON,Ashe
JP1_354690008,6WA3wt2mq6B_gxRA3VVeXJOmTbPVGeIGjigRTYqcnkZdDSoIe-NIS6Llzgix0mqJAZaaCHqTOxx49A,IRON,Nautilus
JP1_354479785,6WA3wt2mq6B_gxRA3VVeXJOmTbPVGeIGjigRTYqcnkZdDSoIe-NIS6Llzgix0mqJAZaaCHqTOxx49A,IRON,Nautilus
JP1_354468664,6WA3wt2mq6B_gxRA3VVeXJOmTbPVGeIGjigRTYqcnkZdDSoIe-NIS6Llzgix0mqJAZaaCHqTOxx49A,IRON,Nautilus
JP1_365980091,2ZpUCUWwj4sfc7XTCNDzebjKu0fTdAwD4HMsG-8xqbeqfzZtE0_YFc6UPk1fQJua3LjYCfhpdfFSVg,IRON,Nami
JP1_365958951,2ZpUCUWwj4sfc7XTCNDzebjKu0fTdAwD4HMsG-8xqbeqfzZtE0_YFc6UPk1fQJua3LjYCfhpdfFSVg,IRON,Nami
JP1_365146953,2ZpUCUWwj4sfc7XTCNDzebjKu0fTdAwD4HMsG-8xqbeqfzZtE0_YFc6UPk1fQJua3LjYCfhpdfFSVg,IRON,Lux
JP1_363658904,OSKp7jH7n4vvmMQQtRI0QUvUJ6fR9zBfKJMBxyRJhcDPIoZC8hm1BkQntz5-8v9kU3H0azOYcn1sig,IRON,Mordekaiser
