,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
0,KRÜ Fem,conir,chamber,sentinel,0.6,113,301.2,1.95,191.3,0.81,1.04,0.18,0.28,0.09,117,60,20,32,10,1729
1,KRÜ Fem,conir,jett,duelist,0.2,52,282.0,1.36,176.5,0.73,1.02,0.10,0.12,0.15,53,39,5,6,8,1729
2,KRÜ Fem,conir,raze,duelist,0.1,15,369.0,2.11,237.7,0.87,1.27,0.33,0.33,0.13,19,9,5,5,2,1729
3,KRÜ Fem,conir,omen,controller,0.1,17,274.0,1.60,180.1,0.88,0.94,0.41,0.18,0.12,16,10,7,3,2,1729
4,Case Hydra,TookiiTookii,jett,duelist,0.833,108,307.2,1.68,188.9,0.73,1.07,0.18,0.31,0.16,116,69,19,33,17,1554
5,Case Hydra,TookiiTookii,raze,duelist,0.16699999999999998,22,345.0,1.33,207.7,0.73,1.09,0.23,0.32,0.14,24,18,5,7,3,1554
6,Alter Ego Celestè,enerii,raze,duelist,0.41700000000000004,89,335.2,1.69,206.1,0.81,1.16,0.22,0.24,0.15,103,61,20,21,13,1921
7,Alter Ego Celestè,enerii,jett,duelist,0.41700000000000004,105,307.6,1.33,189.1,0.71,1.03,0.22,0.21,0.16,108,81,23,22,17,1921
8,Alter Ego Celestè,enerii,neon,duelist,0.16699999999999998,39,336.0,1.44,206.3,0.79,1.18,0.26,0.41,0.13,46,32,10,16,5,1921
9,GONJO,Pa1nt,raze,duelist,0.9,170,304.4,1.21,194.9,0.74,0.98,0.24,0.18,0.15,166,137,41,31,25,1388
10,GONJO,Pa1nt,chamber,sentinel,0.1,19,222.0,0.72,151.7,0.68,0.68,0.21,0.21,0.21,13,18,4,4,4,1388
11,NÖFFEN,DH,raze,duelist,0.929,282,251.7,1.07,166.7,0.73,0.82,0.25,0.18,0.20,231,216,71,50,55,1396
12,NÖFFEN,DH,jett,duelist,0.071,26,289.0,1.26,195.5,0.81,0.92,0.42,0.19,0.15,24,19,11,5,4,1396
13,Misfits Black,florescent,jett,duelist,0.4,89,319.5,1.46,195.8,0.7,1.10,0.16,0.24,0.10,98,67,14,21,9,1647
14,Misfits Black,florescent,neon,duelist,0.4,88,310.0,1.50,189.5,0.74,1.09,0.14,0.17,0.09,96,64,12,15,8,1647
15,Misfits Black,florescent,raze,duelist,0.2,40,235.0,0.94,156.8,0.7,0.80,0.13,0.15,0.13,32,34,5,6,5,1647
16,Native Gaming White,scourge,neon,duelist,0.633,427,300.1,1.39,187.5,0.72,1.04,0.20,0.22,0.15,446,322,86,95,64,1586
17,Native Gaming White,scourge,jett,duelist,0.267,161,306.3,1.48,203.8,0.76,1.10,0.11,0.24,0.14,177,120,18,38,22,1586
